customer_id,name,region,churned,tenure_months
C0154,Barbara Singh,East,0,27
C0155,Karen Gupta,Central,0,26
C0156,William Patel,South,0,19
C0157,Meera Johnson,West,0,28
C0158,Barbara Patel,West,0,17
C0159,James Patel,South,1,20
C0160,David Kumar,West,0,23
C0161,Jennifer Singh,East,0,32
C0162,Neha Shah,West,0,33
C0163,Arjun Gupta,West,1,5
C0164,Michael Miller,East,0,34
C0165,Jennifer Miller,North,1,11
C0166,Maria Joshi,Central,0,3
C0167,Rahul Shah,South,0,33
C0168,Maria Sharma,North,1,11
C0169,Maria Johnson,North,0,16
C0170,Charles Gupta,East,0,18
C0171,Thomas Mehta,West,0,30
C0172,Barbara Johnson,North,1,10
C0173,Thomas Williams,East,0,18
C0174,Rohit Garcia,South,0,19
C0175,Robert Nair,West,0,13
C0176,Robert Davis,North,0,3
C0177,Richard Brown,West,0,10
C0178,Meera Joshi,East,1,1
C0179,Patricia Joshi,Central,1,27
C0180,Nancy Johnson,North,1,8
C0181,Nancy Williams,South,0,17
C0182,Sarah Joshi,North,0,9
C0183,Charles Mehta,Central,1,6
C0184,John Wilson,Central,0,25
C0185,William Sharma,South,1,28
C0186,Patricia Wilson,West,1,33
C0187,Richard Jones,Central,0,9
C0188,Arjun Taylor,East,0,18
C0189,Joseph Sharma,East,0,21
C0190,Aditya Williams,South,0,2
C0191,James Kumar,North,0,15
C0192,Nancy Joshi,Central,1,28
C0193,Linda Williams,Central,0,18
C0194,Lisa Miller,West,0,34
C0195,Thomas Wilson,South,0,22
C0196,Michael Verma,South,0,11
C0197,Meera Williams,West,0,13
C0198,Meera Davis,Central,0,4
C0199,Susan Taylor,Central,0,22
C0200,Barbara Kumar,West,0,7
C0201,Ananya Shah,West,0,24
C0202,Neha Taylor,North,0,4
C0203,Nancy Mehta,North,1,28
C0204,James Shah,Central,0,15
C0205,Jennifer Brown,West,0,1
C0206,Meera Jones,North,0,3
C0207,David Brown,North,0,14
C0208,Meera Brown,West,0,1
C0209,Rahul Shah,North,0,21
C0210,Michael Wilson,North,0,29
C0211,Jennifer Nair,East,0,5
C0212,William Sharma,West,0,10
C0213,William Wilson,West,0,28
C0214,Thomas Gupta,South,0,21
C0215,David Johnson,West,0,7
C0216,Robert Singh,South,0,3
C0217,Ananya Wilson,South,0,20
C0218,Maria Smith,West,0,19
C0219,John Jones,West,1,35
C0220,Priya Wilson,Central,0,4
C0221,Barbara Kumar,West,1,5
C0222,Lisa Singh,East,0,1
C0223,Lisa Smith,North,0,4
C0224,Linda Williams,East,0,12
C0225,Meera Jones,South,0,27
C0226,Lisa Johnson,South,0,23
C0227,Ananya Verma,Central,0,25
C0228,Charles Shah,East,0,21
C0229,Michael Singh,Central,1,24
C0230,Michael Johnson,West,1,25
C0231,Jennifer Verma,West,0,32
C0232,Meera Johnson,East,0,32
C0233,Meera Verma,East,0,5
C0234,William Davis,East,0,16
C0235,Arjun Brown,North,0,33
C0236,Susan Shah,West,0,21
C0237,Meera Singh,South,0,9
C0238,Nancy Jones,North,1,6
C0239,Aditya Davis,West,0,35
C0240,Rohit Garcia,North,0,22
C0241,Vikram Garcia,Central,1,5
C0242,Meera Singh,Central,0,23
C0243,James Garcia,Central,0,17
C0244,Rahul Sharma,East,1,12
C0245,Vikram Singh,North,0,23
C0246,Vikram Davis,Central,0,16
C0247,David Garcia,East,0,3
C0248,Vikram Brown,Central,0,30
C0249,Richard Johnson,Central,0,22
C0250,Rohit Gupta,Central,1,9
C0251,Patricia Miller,South,1,29
C0252,Ananya Kumar,East,0,23
C0253,Susan Taylor,Central,1,13
C0254,Ananya Davis,South,0,32
C0255,Patricia Smith,North,0,23
C0256,Arjun Miller,East,0,17
C0257,Richard Sharma,Central,0,21
C0258,David Williams,West,0,2
C0259,Sunita Wilson,East,1,6
C0260,Susan Mehta,North,0,18
C0261,Richard Shah,West,0,30
C0262,John Smith,Central,0,22
C0263,Linda Wilson,North,1,33
C0264,Barbara Joshi,East,1,30
C0265,David Johnson,Central,1,17
C0266,Linda Nair,West,0,32
C0267,Sarah Verma,West,0,14
C0268,Rahul Sharma,West,0,10
C0269,Sarah Nair,East,0,34
C0270,Thomas Brown,South,0,9
C0271,Richard Joshi,Central,1,28
C0272,William Wilson,Central,0,11
C0273,Maria Singh,Central,0,14
C0274,James Mehta,Central,0,19
C0275,Aditya Shah,East,0,15
C0276,Arjun Miller,East,0,28
C0277,Susan Singh,West,0,24
C0278,Robert Sharma,West,0,8
C0279,Nancy Sharma,West,1,9
C0280,Arjun Brown,West,1,33
C0281,Rahul Taylor,Central,0,33
C0282,Thomas Taylor,South,0,19
C0283,Arjun Singh,East,1,3
C0284,John Patel,North,0,10
C0285,Neha Taylor,East,0,1
C0286,Lisa Jones,North,1,29
C0287,William Singh,East,0,34
C0288,Arjun Patel,East,0,13
C0289,Arjun Garcia,South,0,1
C0290,Nancy Joshi,East,0,34
C0291,Jennifer Patel,North,0,29
C0292,Lisa Smith,North,1,13
C0293,Jennifer Taylor,Central,0,29
C0294,William Singh,East,0,24
C0295,Vikram Joshi,North,0,26
C0296,Nancy Sharma,East,0,17
C0297,Joseph Kumar,West,0,7
C0298,Joseph Miller,South,1,13
C0299,Thomas Gupta,West,0,5
C0300,Vikram Garcia,North,1,26
C0301,Arjun Williams,North,1,3
C0302,Jennifer Mehta,East,0,7
C0303,Arjun Nair,East,0,1
C0304,John Williams,West,1,17
C0305,Ananya Davis,West,0,25
C0306,Arjun Taylor,Central,0,3
C0307,Patricia Miller,East,0,15
C0308,Michael Smith,South,0,29
C0309,Maria Davis,West,0,32
C0310,Karen Nair,South,1,26
C0311,Rohit Williams,East,1,16
C0312,Joseph Singh,North,0,25
C0313,Meera Joshi,North,0,28
C0314,William Patel,Central,0,9
C0315,Karen Patel,Central,0,1
C0316,Patricia Jones,West,0,29
C0317,Priya Smith,East,0,22
C0318,Meera Brown,North,0,16
C0319,Sunita Singh,North,1,7
C0320,Patricia Garcia,South,0,14
C0321,Vikram Mehta,East,0,29
C0322,Joseph Johnson,West,0,19
C0323,Lisa Davis,West,1,19
C0324,Aditya Brown,South,0,2
C0325,Joseph Jones,Central,0,15
C0326,Vikram Kumar,West,0,3
C0327,Arjun Mehta,East,1,11
C0328,Lisa Nair,West,0,30
C0329,John Kumar,East,0,18
C0330,Nancy Mehta,South,0,2
C0331,Sarah Shah,East,0,32
C0332,Joseph Garcia,West,0,8
C0333,Rahul Gupta,North,1,22
C0334,Joseph Wilson,North,0,6
C0335,Sunita Davis,North,0,12
C0336,Ananya Wilson,North,0,15
C0337,Sunita Mehta,Central,1,28
C0338,Karen Davis,West,0,18
C0339,David Kumar,East,0,2
C0340,Robert Taylor,North,1,13
C0341,Patricia Wilson,East,1,15
C0342,John Sharma,East,0,20
C0343,Meera Shah,North,0,29
C0344,Robert Jones,East,1,29
C0345,Michael Davis,East,0,3
C0346,Richard Jones,West,1,19
C0347,Neha Miller,West,1,3
C0348,Robert Singh,North,0,14
C0349,Sarah Sharma,East,0,4
C0350,Lisa Kumar,West,0,11
C0351,Sarah Johnson,East,0,31
C0352,William Singh,Central,0,32
C0353,Richard Joshi,West,1,27
C0354,Neha Smith,North,0,30
C0355,Rohit Joshi,North,1,2
C0356,Richard Gupta,West,0,9
C0357,James Verma,North,0,28
C0358,Jennifer Patel,East,0,31
C0359,Rohit Singh,Central,0,34
C0360,Lisa Shah,East,0,15
C0361,Vikram Nair,East,0,25
C0362,Meera Davis,West,1,8
C0363,Karen Davis,East,0,9
C0364,David Singh,East,0,32
C0365,Karen Smith,Central,0,17
C0366,Richard Sharma,East,0,35
C0367,Arjun Patel,Central,0,19
C0368,Rahul Garcia,Central,0,29
C0369,Ananya Kumar,North,0,7
C0370,Aditya Jones,North,0,28
C0371,Nancy Shah,North,0,9
C0372,James Patel,North,1,28
C0373,Charles Joshi,North,0,6
C0374,Arjun Smith,West,0,29
C0375,Robert Singh,North,0,17
C0376,Michael Kumar,South,0,16
C0377,Barbara Johnson,Central,1,23
C0378,David Patel,North,0,31
C0379,John Miller,Central,0,3
C0380,Joseph Sharma,South,0,21
C0381,John Patel,North,0,26
C0382,David Singh,West,0,22
C0383,David Williams,West,0,12
C0384,Karen Smith,Central,1,13
C0385,Rahul Shah,West,0,11
C0386,Maria Verma,Central,0,16
C0387,Patricia Williams,South,0,8
C0388,Sunita Johnson,North,0,2
C0389,Sunita Smith,West,0,30
C0390,Patricia Miller,Central,0,30
C0391,Ananya Smith,Central,1,12
C0392,Nancy Jones,East,0,10
C0393,Patricia Jones,East,1,11
C0394,Karen Brown,West,1,15
C0395,Charles Miller,South,1,16
C0396,Joseph Wilson,Central,0,17
C0397,Sunita Verma,Central,0,26
C0398,Barbara Nair,East,0,2
C0399,Nancy Brown,West,1,12
C0400,Sunita Garcia,West,0,26
C0401,Jennifer Brown,North,0,23
C0402,Charles Smith,Central,0,18
C0403,Aditya Taylor,East,0,32
C0404,Charles Patel,Central,1,3
C0405,Richard Miller,South,1,3
C0406,Robert Joshi,Central,0,30
C0407,Neha Davis,East,0,1
C0408,Linda Taylor,North,0,30
C0409,Rohit Nair,Central,0,32
C0410,Vikram Brown,North,0,28
C0411,Vikram Joshi,South,1,21
C0412,Vikram Johnson,Central,0,13
C0413,Susan Shah,Central,0,27
C0414,Sarah Verma,East,1,7
C0415,Robert Mehta,West,0,22
C0416,Priya Sharma,East,0,10
C0417,James Singh,South,1,15
C0418,Ananya Gupta,South,0,15
C0419,Linda Singh,West,1,4
C0420,Susan Kumar,West,1,32
C0421,Neha Jones,West,1,23
C0422,Sarah Garcia,West,0,6
C0423,Rahul Mehta,North,0,24
C0424,Priya Wilson,East,0,20
C0425,Nancy Shah,North,1,20
C0426,Sunita Gupta,East,1,12
C0427,Joseph Singh,East,0,33
C0428,Ananya Joshi,Central,0,28
C0429,David Sharma,East,0,8
C0430,Rohit Davis,North,0,1
C0431,Ananya Williams,North,0,22
C0432,David Kumar,West,0,6
C0433,Patricia Kumar,West,1,21
C0434,Charles Nair,North,0,32
C0435,Arjun Patel,North,0,35
C0436,John Smith,West,0,15
C0437,Karen Sharma,North,0,5
C0438,Barbara Gupta,Central,0,6
C0439,William Verma,West,0,25
C0440,Vikram Wilson,North,1,29
C0441,John Wilson,North,1,7
C0442,Meera Nair,Central,0,13
C0443,Neha Wilson,East,0,18
C0444,Lisa Smith,East,0,2
C0445,Thomas Miller,Central,0,8
C0446,Robert Davis,Central,0,11
C0447,Rahul Singh,Central,0,33
C0448,Karen Shah,West,0,27
C0449,Sunita Davis,East,0,20
C0450,Neha Gupta,North,0,12
C0451,Priya Gupta,West,1,31
C0452,Joseph Smith,East,0,27
C0453,Robert Taylor,East,0,32
C0454,Patricia Patel,Central,0,10
C0455,Neha Davis,North,1,3
C0456,Jennifer Joshi,East,0,27
C0457,Susan Gupta,North,0,35
C0458,Lisa Mehta,East,0,31
C0459,Susan Singh,North,1,15
C0460,Rahul Shah,North,0,16
C0461,John Verma,North,1,13
C0462,Neha Kumar,West,1,35
C0463,David Taylor,West,0,11
C0464,David Davis,East,1,21
C0465,Linda Miller,Central,0,11
C0466,John Brown,East,1,30
C0467,Rahul Shah,South,0,35
C0468,Sunita Garcia,Central,1,22
C0469,William Miller,South,0,31
C0470,Rahul Gupta,Central,0,14
C0471,David Joshi,North,0,24
C0472,Sunita Mehta,Central,0,32
C0473,Nancy Taylor,North,0,32
C0474,Linda Miller,Central,0,15
C0475,Jennifer Davis,East,0,35
C0476,Susan Garcia,Central,0,3
C0477,Jennifer Smith,North,1,16
C0478,Neha Shah,East,0,5
C0479,Michael Wilson,Central,0,21
C0480,Maria Johnson,East,0,10
C0481,Lisa Taylor,West,0,19
C0482,Neha Jones,West,1,25
C0483,Priya Gupta,East,0,4
C0484,Linda Smith,West,0,29
C0485,Charles Taylor,East,1,19
C0486,Karen Gupta,Central,1,2
C0487,Joseph Sharma,North,0,10
C0488,Barbara Johnson,South,1,25
C0489,David Gupta,Central,1,20
C0490,Linda Williams,Central,0,19
C0491,Richard Gupta,East,0,23
C0492,Robert Joshi,West,0,24
C0493,Priya Johnson,South,0,11
C0494,Michael Jones,North,0,34
C0495,Vikram Joshi,East,0,28
C0496,Jennifer Williams,East,0,5
C0497,Patricia Brown,East,0,5
C0498,Lisa Singh,North,0,21
C0499,Nancy Nair,Central,0,12
C0500,Vikram Nair,Central,0,4
